,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,Recep Tayyip Erdoğan,@RTErdogan,2024-02-03T13:55:11.000Z,1.0,Hatay Deprem Konutları Kura ve Anahtar Teslim Töreni,282,1.1K,2.8K,125K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753779167089263073,tweet_id:1753779167089263073,,0.0,,,,
1,Recep Tayyip Erdoğan,@RTErdogan,2024-02-03T10:54:13.000Z,1.0,Alev Alatlı'nın Cenaze Namazı,464,2.2K,7.5K,256K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753733623503585419,tweet_id:1753733623503585419,,1.0,,,,
2,Recep Tayyip Erdoğan,@RTErdogan,2024-02-02T16:23:02.000Z,1.0,"Daha 8 ay öncesinde 85 milyonu kucaklaştırmaktan dem vuranlar bugün sabah akşam kavga ediyor.

Gün geçmiyor ki milletçe yüzümüzü kızartacak bir skandallarına, bir itiraflarına, bilhassa gençlerimizin siyaset kurumuna yönelik güvenini zedeleyen bir ayak oyunlarına şahit olmayalım.

Bu durumdan dolayı toplumumuzun belli kesimlerinde yayılan karamsarlık dalgasını demokrasimiz adına ürkütücü buluyoruz. 

Muvafık veya muhalif fark etmeksizin siyaset kurumunun ana görevi topluma umut aşılamaktır.

Burada oluşacak en küçük bir zafiyetin, geçmişte olduğu gibi, ülkemize ve demokrasimize ağır faturaları olacaktır.

Biz, böyle bir tablonun oluşmaması için elimizden geleni yapmaya devam edeceğiz.

Kendini muhalif olarak tanımlayan vatandaşlarımızı da kucaklamaya, herkesin sorunlarına çözüm üretmeye, herkesin sesine kulak vermeye devam edecek, millî birlik ve beraberliğimizin bozulmasına müsaade etmeyeceğiz.",1K,2.1K,6.4K,375K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753453985808171515,tweet_id:1753453985808171515,,2.0,0.0,0.0,0.0,0.0
3,Recep Tayyip Erdoğan,@RTErdogan,2024-02-02T14:28:47.000Z,1.0,Sivil Toplum Kuruluşlarıyla Buluşma Programı,590,1.9K,5.3K,210K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753425236026961984,tweet_id:1753425236026961984,,3.0,1.0,1.0,1.0,1.0
4,Recep Tayyip Erdoğan,@RTErdogan,2024-02-02T13:45:15.000Z,1.0,"Vefatını derin bir teessürle öğrendiğimiz Alev Alatlı hocamıza Allah’tan rahmet diliyorum. 

Ülkemizin son dönemde yetiştirdiği en önemli münevverlerden, tarihten bugüne ve geleceğe tespitle beraber teklif de üreten, perspektifler sunabilen, Cumhurbaşkanlığı Kültür ve Sanat Büyük Ödülü sahibi Alev Alatlı hocamız, eserleri ve fikirleriyle aramızda yaşamaya devam edecektir. 

Kıymetli Alev hocamızın ailesine, sevenlerine, okurlarına ve milletimize başsağlığı diliyorum.",568,4.2K,17K,508K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753414276591628545,tweet_id:1753414276591628545,https://pbs.twimg.com/media/GFVfWXvXYAAeOAp?format=jpg&name=small,4.0,2.0,2.0,2.0,2.0
5,Recep Tayyip Erdoğan,@RTErdogan,2024-02-02T12:45:09.000Z,1.0,AK Parti Bursa İlçe Belediye Başkan Adayları Tanıtım Toplantısı,851,2.2K,6.3K,245K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753399155135762688,tweet_id:1753399155135762688,,5.0,3.0,3.0,3.0,3.0
6,Erdoğan Dijital Medya,@RTEdijital,2024-02-01T15:50:02.000Z,1.0,"Cumhurbaşkanımız :

“Yaklaşık bin yıldır Türkler İslam'ı, İslam da Türkleri muhafaza etmiş; Türkler İslam'ın, İslam da Türklerin kılıcı olmuştur. Tarih kitaplarına şöyle bir göz attığınızda karşınıza çıkacak hakikat şudur: Türk demek, aynı zamanda Müslüman demektir.”",810,1.8K,5.2K,212K,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1156833530825121792/SeEC2XxW_normal.jpg,https://twitter.com/RTEdijital/status/1753083291350008284,tweet_id:1753083291350008284,https://pbs.twimg.com/media/GFQztTPXkAANmqU.jpg,6.0,4.0,4.0,4.0,4.0
7,Recep Tayyip Erdoğan,@RTErdogan,2024-02-01T15:00:09.000Z,1.0,"Diyanet Akademisi Başkanlığı 1’inci Dönem Aday Din Görevlileri Mezuniyet Merasimi’ni Cumhurbaşkanlığı Külliyemizde gerçekleştirdik.

8 aylık eğitim süreçlerini başarıyla tamamlayan 4 bin 537 aday din görevlimizi tebrik ediyor, görevlerinde Rabbimden başarılar niyaz ediyorum.     

İlk olarak 2012 yılında hukuki altyapısını oluşturmaya başladığımız Diyanet Akademisini, 10 yılı bulan titiz ve yoğun çalışmaların ardından 2022 yılında hayata geçirdik.

Akademinin kurulmasıyla birlikte Diyanet camiamız meslek öncesi eğitim ve mesleki eğitim noktasında son derece mücehhez bir yapıya kavuştu.

Diyanet İşleri Başkanlığımızın merkez ve taşra teşkilatlarında yapılan her tür ve düzeydeki eğitimleri tek çatı altında topladık.

Böylece verilen din hizmetlerinin niteliğini daha da arttıracak, Diyanet mensuplarımızın mesleki donanımını tahkim edecek, sadece kendi insanımıza değil yurt dışında yaşayan vatandaşlarımıza ve kardeş halklara da çok daha iyi hizmet götürülmesini sağlayacak, hasılı Diyanetimizin kurumsal, beşerî ve ilmî kapasitesini her alanda ileriye taşıyacak kritik bir kurumu Başkanlığımızın hizmetine sunmuş olduk.

Aday din görevlilerimizi en güzel şekilde yetiştiren saygıdeğer hocalarımıza teşekkürlerimi iletiyorum.

Yurt içinde ve yurt dışında özveriyle görev yapan bütün Diyanet mensuplarımıza, din görevlilerimize vazifelerinde kolaylıklar diliyorum.",2.5K,4.1K,13K,568K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753070739635220583,tweet_id:1753070739635220583,https://pbs.twimg.com/media/GFQkBfiXMAAA4_o?format=jpg&name=360x360,7.0,5.0,5.0,5.0,5.0
8,Recep Tayyip Erdoğan,@RTErdogan,2024-02-01T11:51:28.000Z,1.0,Diyanet Akademisi Başkanlığı 1'inci Dönem Aday Din Görevlileri Mezuniyet Merasimi,1.2K,3.9K,11K,481K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753023254590079032,tweet_id:1753023254590079032,,8.0,6.0,6.0,6.0,6.0
9,Recep Tayyip Erdoğan,@RTErdogan,2024-01-30T18:30:00.000Z,1.0,"#GerçekBelediyecilik üretken, dinamik, çağdaş ve akılcı projelerle insanımızın günlük hayatını kolaylaştıracaktır.

Adil, şeffaf ve sorumlu yönetim anlayışıyla tüm bireylere güven verecektir.",13K,4.6K,13K,489K,['#GerçekBelediyecilik'],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1752398774192705758,tweet_id:1752398774192705758,https://pbs.twimg.com/media/GFGfq-JWcAEhCiG.jpg,9.0,7.0,7.0,7.0,7.0
10,Recep Tayyip Erdoğan,@RTErdogan,2024-01-30T16:30:00.000Z,1.0,"Şehirlerimiz hizmetini göremediği insanların gölgesine bakmaktan, afişlerini seyretmekten, propagandasına maruz kalmaktan bıktı, usandı, yıldı.
 
İnşallah 31 Mart’ta bu gölgeler şehirlerimizin üzerinden çekilecek, insanlarımız gerçek belediyeciliğin üretkenliğine kavuşacaktır.",1.5K,5.2K,15K,527K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1752368577267830909,tweet_id:1752368577267830909,https://pbs.twimg.com/media/GFGenqWXsAAB8wB.jpg,10.0,8.0,8.0,8.0,8.0
11,Recep Tayyip Erdoğan,@RTErdogan,2024-01-30T15:30:00.000Z,1.0,"Etkin, verimli, adil, şeffaf ve sorumlu belediye yönetimi anlayışımızdan taviz vermeyeceğiz.

Katılımcılığa, kaliteli hizmet üretimine ve vatandaş memnuniyetine odaklanan yönetimlerle belediyelerimizi geleceğe hazırlayacağız. #GerçekBelediyecilik",1.3K,3.7K,9.9K,357K,['#GerçekBelediyecilik'],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1752353475105616265,tweet_id:1752353475105616265,https://pbs.twimg.com/media/GFFu9tQXEAEJnjm?format=jpg&name=small,11.0,9.0,9.0,9.0,9.0
